"","abundance.1","abundance.2","abundance.3","abundance.4","abundance.5","abundance.6","counts.1","counts.2","counts.3","counts.4","counts.5","counts.6","length.1","length.2","length.3","length.4","length.5","length.6","countsFromAbundance"
"ENSMUSG00000083815",0,0,0,0,0,0,0,0,0,0,0,0,974,974,974,974,974,974,"no"
"ENSMUSG00000083816",0,0,0,0.38,0.42,0.56,0,0,0,3,3,3,891,891,891,774,774,774,"no"
"ENSMUSG00000083817",0.1,0.17,0,0,0.63,0.17,2.08,3.88,0,0,12.09,2.4,2086,2086,2086,2086,2086,2086,"no"
"ENSMUSG00000083818",0,0,0,0,0,0,0,0,0,0,0,0,1237,1237,1237,1237,1237,1237,"no"
"ENSMUSG00000083819",0,0,0,0,0,0,0,0,0,0,0,0,1412,1412,1412,1412,1412,1412,"no"
"ENSMUSG00000083820",1.08,0.56,0.54,3.75,1.26,1.83,3.38,1.8,1.52,11.31,3.47,3.82,299,299,299,299,299,299,"no"
"ENSMUSG00000083821",0,0,0,0,0,0,0,0,0,0,0,0,545,545,545,545,545,545,"no"
"ENSMUSG00000083822",0,0,0,0,0,0,0,0,0,0,0,0,508,508,508,508,508,508,"no"
"ENSMUSG00000083823",0.12,0,0,0,0,0,1.2,0,0,0,0,0,945,945,945,945,945,945,"no"
"ENSMUSG00000083825",0,0,0,0,0,0,0,0,0,0,0,0,849,849,849,849,849,849,"no"
"ENSMUSG00000083826",0,0,0,0,0,0.23,0,0,0,0,0,1.19,745,745,745,745,745,745,"no"
"ENSMUSG00000083827",0,0,0,0,0,0,0,0,0,0,0,0,1107,1107,1107,1107,1107,1107,"no"
"ENSMUSG00000083828",0,0,0,0,0,0,0,0,0,0,0,0,1073,1073,1073,1073,1073,1073,"no"
"ENSMUSG00000083829",0.14,0.27,0.63,0.3,0.17,0.22,1.24,2.44,4.87,2.5,1.26,1.25,825,825,825,825,825,825,"no"
"ENSMUSG00000083830",0,0,0,0,0,0,0,0,0,0,0,0,1596,1596,1596,1596,1596,1596,"no"
"ENSMUSG00000083831",0,0,0,0,0,0,0,0,0,0,0,0,495,495,495,495,495,495,"no"
"ENSMUSG00000083832",1.02,0,0.57,0.52,0,0,2.01,0,1,1,0,0,189,189,189,189,189,189,"no"
"ENSMUSG00000083833",0,0,0,0,0,0,0,0,0,0,0,0,434,434,510.5,510.5,510.5,510.5,"no"
"ENSMUSG00000083834",0,0,0.24,0.23,0,0,0,0,1.16,1.22,0,0,525,525,525,525,525,525,"no"
"ENSMUSG00000083835",0,0,0,0,0,0,0,0,0,0,0,0,336,336,336,336,336,336,"no"
"ENSMUSG00000083836",0.71,0.55,0.14,0.61,1.22,0,7.5,6.07,1.28,6.2,11.3,0,1008,1008,1008,1008,1008,1008,"no"
"ENSMUSG00000083837",0,0,0,0.17,0,0,0,0,0,1,0,0,586,586,586,586,586,586,"no"
"ENSMUSG00000083838",0,0,0.54,0,0,0,0,0,3.67,0,0,0,730,730,730,730,730,730,"no"
"ENSMUSG00000083839",0,0,0,0,0,0,0,0,0,0,0,0,277,277,277,277,277,277,"no"
"ENSMUSG00000083840",9.59,8.62,11,5.91,10.85,13.36,189.37,176.99,194.98,112.9,188.38,176.06,1892,1892,1892,1893.63,1892,1892,"no"
"ENSMUSG00000083841",0,0,0,0,0,0,0,0,0,0,0,0,861,861,861,861,861,861,"no"
"ENSMUSG00000083842",0,0,0,0,0,0,0,0,0,0,0,0,242,242,242,242,242,242,"no"
"ENSMUSG00000083843",0,0,0,0,0,0,0,0,0,0,0,0,413,413,413,413,413,413,"no"
"ENSMUSG00000083844",8.14,6.39,6.85,7.37,9.37,8.89,101.3,110.22,97.94,112.64,104.97,74.26,1192.86,1590.01,1525.39,1513.61,1220.66,1199.2,"no"
"ENSMUSG00000083845",0,0,0,0,0,0,0,0,0,0,0,0,521,521,521,521,521,521,"no"
"ENSMUSG00000083846",0.77,3.13,0.88,0,0.79,0,0.57,2.41,0.58,0,0.51,0,71,71,71,71,71,71,"no"
"ENSMUSG00000083847",0,0,0,0,0,0,0,0,0,0,0,0,609,609,609,609,609,609,"no"
"ENSMUSG00000083848",0,0,0,0,0,0,0,0,0,0,0,0,532,532,532,532,532,532,"no"
"ENSMUSG00000083849",0.06,0,0,0.04,0.04,0.06,1.53,0,0,1.04,1,1.02,2638,2638,2638,2638,2638,2638,"no"
"ENSMUSG00000083851",0,0,0,0,0,0,0,0,0,0,0,0,519,519,519,519,519,519,"no"
"ENSMUSG00000083852",0.01,0,0,0,0,0,0.03,0,0,0,0,0,316,316,316,316,316,316,"no"
"ENSMUSG00000083853",0.25,0,0.82,0.25,0.28,0,1.01,0,3.03,1.01,1,0,396,396,396,396,396,396,"no"
"ENSMUSG00000083854",10.92,6.42,7.03,18.71,14.77,17.42,34.4,21.05,21.16,57.01,40.92,36.63,302,302,321.41,302,302,302,"no"
"ENSMUSG00000083855",0,0,0,0,0,0,0,0,0,0,0,0,890,890,890,890,890,890,"no"
"ENSMUSG00000083856",0.28,0,0,0,0,0.43,3.26,0,0,0,0,3.41,1134,1134,1134,1134,1134,1134,"no"
"ENSMUSG00000083857",0,0,0,0,0,0,0,0,0,0,0,0,1056,1056,1056,1056,1056,1056,"no"
"ENSMUSG00000083858",0,0,0,0,0,0,0,0,0,0,0,0,986,986,986,986,986,986,"no"
"ENSMUSG00000083859",0,0,0,0,0,0,0,0,0,0,0,0,1056,1056,1056,1056,1056,1056,"no"
"ENSMUSG00000083860",0.21,0,0,0,0,0,2.2,0,0,0,0,0,1023,1023,1023,1023,1023,1023,"no"
"ENSMUSG00000083861",0,0,0,0,0,0,0,0,0,0,0,0,432,432,432,432,432,432,"no"
"ENSMUSG00000083863",2.38,0.96,6.03,4.34,3.01,1.61,15.47,6.5,35.18,27.28,17.2,6.97,623,623,623,623,623,623,"no"
"ENSMUSG00000083864",0,0,0,0,0.06,0,0,0,0,0,1.07,0,2062,2062,2062,2062,2062,2062,"no"
"ENSMUSG00000083866",0,0,0,0,0,0,0,0,0,0,0,0,265,265,265,265,265,265,"no"
"ENSMUSG00000083867",0,0,0,0,0,0,0,0,0,0,0,0,226,226,226,226,226,226,"no"
"ENSMUSG00000083868",0,0,0,0,0,0,0,0,0,0,0,0,522,522,522,522,522,522,"no"
"ENSMUSG00000083869",0,0,0,0,0,0,0,0,0,0,0,0,289,289,289,289,289,289,"no"
"ENSMUSG00000083870",0,0,0,0,0,0,0,0,0,0,0,0,396,396,396,396,396,396,"no"
"ENSMUSG00000083871",0,0,0,0,0,0,0,0,0,0,0,0,883,883,883,883,883,883,"no"
"ENSMUSG00000083872",0,0,0,0,0,0,0,0,0,0,0,0,388,388,388,388,388,388,"no"
"ENSMUSG00000083873",0,0,0,0,0,0,0,0,0,0,0,0,468,468,468,468,468,468,"no"
"ENSMUSG00000083874",0,0,0,0,0,0,0,0,0,0,0,0,392,392,392,392,392,392,"no"
"ENSMUSG00000083875",0.98,0.43,0,0,0,0,2.58,1.18,0,0,0,0,253,253,253,253,253,253,"no"
"ENSMUSG00000083876",0,0,0,0,0,0,0,0,0,0,0,0,360,360,360,360,360,360,"no"
"ENSMUSG00000083877",0,0,0,0,0,0,0,0,0,0,0,0,1101,1101,1101,1101,1101,1101,"no"
"ENSMUSG00000083878",0,0,0,0,0,0.59,0,0,0,0,0,1.44,350,350,350,350,350,350,"no"
"ENSMUSG00000083879",0,0,0,0,0,0,0,0,0,0,0,0,1139.5,1139.5,1139.5,1139.5,758,1139.5,"no"
"ENSMUSG00000083880",0,0,0,0,0,0,0,0,0,0,0,0,234,234,234,234,234,234,"no"
"ENSMUSG00000083881",0,0,0,0,0,0,0,0,0,0,0,0,664,664,664,664,664,664,"no"
"ENSMUSG00000083882",0,0,0,0,0,0,0,0,0,0,0,0,269,269,269,269,269,269,"no"
"ENSMUSG00000083883",0.27,0,0,0,0,0,1.13,0,0,0,0,0,395,395,395,395,395,395,"no"
"ENSMUSG00000083884",0,0,0,0,0,0,0,0,0,0,0,0,677,677,677,677,677,677,"no"
"ENSMUSG00000083885",0,0,0,0,0,0,0,0,0,0,0,0,425,425,425,425,425,425,"no"
"ENSMUSG00000083886",0,0,0,0,0,0,0,0,0,0,0,0,925,925,925,925,925,925,"no"
"ENSMUSG00000083887",0,0,0,0,0,0,0,0,0,0,0,0,141,141,141,141,141,141,"no"
"ENSMUSG00000083888",0,0,0,0,0,0,0,0,0,0,0,0,539,539,539,539,539,539,"no"
"ENSMUSG00000083889",0,0,0,0,0,0,0,0,0,0,0,0,374,374,374,374,374,374,"no"
"ENSMUSG00000083890",0,0,0,0,0,0,0,0,0,0,0,0,831,831,831,831,831,831,"no"
"ENSMUSG00000083892",0.89,0.81,0.74,0.49,0.57,0.72,6.85,6.5,5.12,3.64,3.9,3.72,740,740,740,740,740,740,"no"
"ENSMUSG00000083893",0,0,0,0,0,0,0,0,0,0,0,0,1304,1304,1304,1304,1304,1304,"no"
"ENSMUSG00000083894",0,0,0,0,0,0,0,0,0,0,0,0,450,450,450,450,450,450,"no"
"ENSMUSG00000083895",0,0,0,0,0,0,0,0,0,0,0,0,170,170,170,170,170,170,"no"
"ENSMUSG00000083896",0,0,0,0,0,0,0,0,0,0,0,0,186.5,186.5,186.5,186.5,186.5,186.5,"no"
"ENSMUSG00000083897",0.59,0,0,0,0,0,1,0,0,0,0,0,163,163,163,163,163,163,"no"
"ENSMUSG00000083898",0,0.01,0,0.04,0.14,0.17,0,0.18,0,1.18,3.59,3.18,2703,2703,2703,2703,2703,2703,"no"
"ENSMUSG00000083899",2.38,7.36,10.85,10.65,5.14,0,54.83,176.23,224.15,236.99,104.12,0,2206,2206,2206,2206,2206,2206,"no"
"ENSMUSG00000083900",0.46,0.59,0.17,0,0,0,2.03,2.75,0.67,0,0,0,428,428,428,428,428,428,"no"
"ENSMUSG00000083901",0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,279,279,279,"no"
"ENSMUSG00000083902",1.74,0.79,0.33,1.76,0.97,1.95,24.58,11.65,4.25,24.15,12.1,18.41,1357,1357,1357,1357,1357,1357,"no"
"ENSMUSG00000083903",0,0,0.16,0.2,0,0,0,0,0.84,1.12,0,0,560,560,560,560,560,560,"no"
"ENSMUSG00000083904",0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,999,"no"
"ENSMUSG00000083905",0,0,0,0,0,0,0,0,0,0,0,0,236,236,236,236,236,236,"no"
"ENSMUSG00000083906",0,0,0,0,0,0,0,0,0,0,0,0,514,514,514,514,514,514,"no"
"ENSMUSG00000083907",0.31,0.48,0.55,0.11,0.3,0.45,5.61,9,9,2,4.78,5.45,1739,1739,1739,1739,1739,1739,"no"
"ENSMUSG00000083908",0,0,0,0,0,0,0,0,0,0,0,0,786,786,786,786,786,786,"no"
"ENSMUSG00000083909",0,0.32,0,0.17,0,0.5,0,2,0,1,0,2,569,569,569,569,569,569,"no"
"ENSMUSG00000083910",0.27,0.4,0,0,0,0.33,1.23,1.89,0,0,0,1.01,433,433,433,433,433,433,"no"
"ENSMUSG00000083911",0,0,0.97,0,0,0,0,0,2.9,0,0,0,318,318,318,318,318,318,"no"
"ENSMUSG00000083912",0,0,0,0,0,0,0,0,0,0,0,0,564,564,564,564,564,564,"no"
"ENSMUSG00000083913",0,0,0,0,0,0,0,0,0,0,0,0,239,239,239,239,239,239,"no"
"ENSMUSG00000083914",0,0,0,0,0,0,0,0,0,0,0,0,410,410,410,410,410,410,"no"
"ENSMUSG00000083915",0,0,0,0,0,0,0,0,0,0,0,0,561,561,561,561,561,561,"no"
"ENSMUSG00000083916",0,0,0,0,0,0,0,0,0,0,0,0,951,951,951,951,951,951,"no"
"ENSMUSG00000083917",0,0,0,0,0,0,0,0,0,0,0,0,1356,1356,1356,1356,1356,1356,"no"
"ENSMUSG00000083918",0,0,0,0,0,0,0,0,0,0,0,0,400,400,400,400,400,400,"no"
"ENSMUSG00000083919",0,0,0,0,0,0,0,0,0,0,0,0,659,659,659,659,659,659,"no"
"ENSMUSG00000083920",0,0,0,0,0,0,0,0,0,0,0,0,627,627,627,627,627,627,"no"
"ENSMUSG00000083921",0.2,0.3,0,0,0,0,1.12,1.81,0,0,0,0,549,549,549,549,549,549,"no"
"ENSMUSG00000083922",0.28,0,0,0.3,0,0,1.05,0,0,1.05,0,0,354,354,354,354,354,354,"no"
"ENSMUSG00000083923",0,0,0,0,0,0,0,0,0,0,0,0,1005,1005,1005,1005,1005,1005,"no"
"ENSMUSG00000083924",0,0,0,0,0,0,0,0,0,0,0,0,336,336,336,336,336,336,"no"
"ENSMUSG00000083925",0,0,0,0,0,0,0,0,0,0,0,0,1017,1017,1017,1017,1017,1017,"no"
"ENSMUSG00000083926",0,0,0,0,0,0,0,0,0,0,0,0,614,614,614,614,614,614,"no"
"ENSMUSG00000083927",0,0,0,0,0,0,0,0,0,0,0,0,284,284,284,284,284,284,"no"
"ENSMUSG00000083928",0,0,0,0,0,0,0,0,0,0,0,0,1503,1503,1503,1503,1503,1503,"no"
"ENSMUSG00000083929",0.24,0,0.24,0.19,0.12,0.32,4.95,0,4.49,3.75,2.28,4.39,1998,1998,1998,1998,1998,1998,"no"
"ENSMUSG00000083930",0,0,0,0,0,0,0,0,0,0,0,0,1906,1906,1906,1906,1906,1906,"no"
"ENSMUSG00000083931",0,0,0,0,0,0,0,0,0,0,0,0,493,493,493,493,493,493,"no"
"ENSMUSG00000083932",0,0,0,0,0,0,0,0,0,0,0,0,140,140,140,140,140,140,"no"
"ENSMUSG00000083933",0,0,0,0,0,0,0,0,0,0,0,0,773,773,773,773,773,773,"no"
"ENSMUSG00000083934",0,0,0,0,0,0,0,0,0,0,0,0,385,385,385,385,385,385,"no"
"ENSMUSG00000083935",0,0,0,0,0,0,0,0,0,0,0,0,441,441,441,441,441,441,"no"
"ENSMUSG00000083936",0,0,0,0,0,0,0,0,0,0,0,0,1089,1089,1089,1089,1089,1089,"no"
"ENSMUSG00000083937",0,0,0,0,0,0,0,0,0,0,0,0,846.5,846.5,846.5,846.5,846.5,846.5,"no"
"ENSMUSG00000083938",0,0,0,0,0,0,0,0,0,0,0,0,606,606,606,606,606,606,"no"
"ENSMUSG00000083939",0,0,0,0,0,0,0,0,0,0,0,0,1493,1493,1493,1493,1493,1493,"no"
"ENSMUSG00000083940",0,0,0,0,0,0,0,0,0,0,0,0,1987,1987,1987,1987,1987,1987,"no"
"ENSMUSG00000083941",0,0,0,0,0,0,0,0,0,0,0,0,192,192,192,192,192,192,"no"
"ENSMUSG00000083942",0,0,0,0,0,0,0,0,0,0,0,0,228,228,228,228,228,228,"no"
"ENSMUSG00000083943",0.97,0.93,0,0.5,1.65,0,2,2,0,1,3,0,198,198,198,198,198,198,"no"
"ENSMUSG00000083944",0,0,0,0,0,0,0,0,0,0,0,0,84,84,84,84,84,84,"no"
"ENSMUSG00000083945",0,0,0,0,0,0,0,0,0,0,0,0,234,234,234,234,234,234,"no"
"ENSMUSG00000083946",0,0,0,0,0,0,0,0,0,0,0,0,518,518,518,518,518,518,"no"
"ENSMUSG00000083947",0,0,0,0,0,0,0,0,0,0,0,0,1064.5,1064.5,1064.5,1064.5,1064.5,1064.5,"no"
"ENSMUSG00000083948",0,0,0,0,0,0,0,0,0,0,0,0,854,854,854,854,854,854,"no"
"ENSMUSG00000083949",0,0,0,0,0,0,0,0,0,0,0,0,201,201,201,201,201,201,"no"
"ENSMUSG00000083950",0,0,0,0,0,0,0,0,0,0,0,0,402,402,402,402,402,402,"no"
"ENSMUSG00000083951",0,0,0.38,0,0,0,0,0,1,0,0,0,284,284,284,284,284,284,"no"
"ENSMUSG00000083953",0,0,0.18,0,0.56,0,0,0,1,0,3,0,587,587,587,587,587,587,"no"
"ENSMUSG00000083954",0,0,0,0,0,0,0,0,0,0,0,0,1223,1223,1223,1223,1223,1223,"no"
"ENSMUSG00000083955",0,0,0,0,0,0,0,0,0,0,0,0,490,490,490,490,490,490,"no"
"ENSMUSG00000083956",0,0,0,0,0,0,0,0,0,0,0,0,995,995,995,995,995,995,"no"
"ENSMUSG00000083957",0,0,0,0,0,0,0,0,0,0,0,0,361,361,361,361,361,361,"no"
"ENSMUSG00000083958",0,0,0,0,0,0,0,0,0,0,0,0,797,797,797,797,797,797,"no"
"ENSMUSG00000083960",0,0,0,0,0,0,0,0,0,0,0,0,1035,1035,1035,1035,1035,1035,"no"
"ENSMUSG00000083961",0,0,0,0,0,0,0,0,0,0,0,0,158,158,158,158,158,158,"no"
"ENSMUSG00000083962",0,0,0,0.11,0.1,0.15,0,0,0,1.02,0.87,1.01,947,947,947,947,947,947,"no"
"ENSMUSG00000083963",0,0,0,0,0,0,0,0,0,0,0,0,406,406,406,406,406,406,"no"
"ENSMUSG00000083964",0.26,0.15,0,0.14,0,0,2.48,1.54,0,1.28,0,0,924,924,924,924,924,924,"no"
"ENSMUSG00000083966",0,0,0,0,0,0,0,0,0,0,0,0,205,205,205,205,205,205,"no"
"ENSMUSG00000083967",0,0,0,0,0,0,0,0,0,0,0,0,215,215,215,215,215,215,"no"
"ENSMUSG00000083969",0,0,0,0,0,0,0,0,0,0,0,0,898,898,898,898,898,898,"no"
"ENSMUSG00000083970",0,0,0,0,0,0,0,0,0,0,0,0,795,795,795,795,795,795,"no"
"ENSMUSG00000083971",13.92,9.32,10.1,9,9.25,9.28,59.53,41.49,38.78,37.25,34.81,26.52,410,410,410,410,410,410,"no"
"ENSMUSG00000083972",0,0,0,0,0,0,0,0,0,0,0,0,1836,1836,1836,1836,1836,1836,"no"
"ENSMUSG00000083973",0,0,0,0,0,0,0,0,0,0,0,0,597,597,597,597,597,597,"no"
"ENSMUSG00000083974",0,0,0,0,0,0,0,0,0,0,0,0,139,139,139,139,139,139,"no"
"ENSMUSG00000083975",0,0,0,0,0,0,0,0,0,0,0,0,172,172,172,172,172,172,"no"
"ENSMUSG00000083976",0,0,0,0,0,0,0,0,0,0,0,0,296,296,296,296,296,296,"no"
"ENSMUSG00000083977",0,0,0,0,0,0,0,0,0,0,0,0,952,952,952,952,952,952,"no"
"ENSMUSG00000083978",0,0,0,0,0,0,0,0,0,0,0,0,550,550,550,550,550,550,"no"
"ENSMUSG00000083979",0,0,0,0,0,0,0,0,0,0,0,0,515,515,515,515,515,515,"no"
"ENSMUSG00000083981",0,0,0,0,0,0,0,0,0,0,0,0,559,559,559,559,559,559,"no"
"ENSMUSG00000083982",0,0,0,0,0,0,0,0,0,0,0,0,840,840,840,840,840,840,"no"
"ENSMUSG00000083983",0,0,0,0,0,0,0,0,0,0,0,0,872,872,872,872,872,872,"no"
"ENSMUSG00000083985",0,0,0,0,0,0,0,0,0,0,0,0,354,354,354,354,354,354,"no"
"ENSMUSG00000083986",0,0,0,0,0,0,0,0,0,0,0,0,304,304,304,304,304,304,"no"
"ENSMUSG00000083987",0,0,0,0,0,0,0,0,0,0,0,0,233,233,233,233,233,233,"no"
"ENSMUSG00000083988",0,0,0,0,0.74,0,0,0,0,0,3,0,443,443,443,443,443,443,"no"
"ENSMUSG00000083989",0,0,0,0,0,0,0,0,0,0,0,0,440,440,440,440,440,440,"no"
"ENSMUSG00000083990",13.19,5.85,3.71,4.28,1.76,8.91,46.92,21.65,11.86,14.73,5.49,21.15,341,341,341,341,341,341,"no"
"ENSMUSG00000083991",0,0.42,0.98,0,0,0,0,1,2,0,0,0,218,218,218,218,218,218,"no"
"ENSMUSG00000083992",0,0.25,1.03,0.49,0,0,0,1.51,5.3,2.7,0,0,550,550,550,550,550,550,"no"
"ENSMUSG00000083993",0,0,0,0,0.1,0,0,0,0,0,0.98,0,1024,1024,1024,1024,1024,1024,"no"
"ENSMUSG00000083994",0,0,0,0,0,0,0,0,0,0,0,0,1709,1709,1709,1709,1709,1709,"no"
"ENSMUSG00000083995",0,0,0,0,0,0,0,0,0,0,0,0,355,355,355,355,355,355,"no"
"ENSMUSG00000083996",0,0,0,0,0,0,0,0,0,0,0,0,326,326,326,326,326,326,"no"
"ENSMUSG00000083997",0,0,0,0,0,0,0,0,0,0,0,0,1137,1137,1137,1137,1137,1137,"no"
"ENSMUSG00000083998",0,0.17,0,0,0,0,0,1.03,0,0,0,0,545,545,545,545,545,545,"no"
"ENSMUSG00000083999",0,0,0,0,0,0,0,0,0,0,0,0,1261,1261,1261,1261,1261,1261,"no"
"ENSMUSG00000084000",0,0,0,0,0,0,0,0,0,0,0,0,1484,1484,1484,1484,1484,1484,"no"
"ENSMUSG00000084001",0,0,0,0,0,0,0,0,0,0,0,0,787,787,787,787,787,787,"no"
"ENSMUSG00000084003",0,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,"no"
"ENSMUSG00000084004",0,0,0,0,0,0,0,0,0,0,0,0,895,895,895,895,895,895,"no"
"ENSMUSG00000084005",0,0,0,0,0,0,0,0,0,0,0,0,252,252,252,252,252,252,"no"
"ENSMUSG00000084006",0,0,0,0,0,0,0,0,0,0,0,0,1794,1794,1794,1794,1794,1794,"no"
"ENSMUSG00000084007",0,0,0.25,0,0.25,0,0,0,1,0,1,0,433,433,433,433,433,433,"no"
"ENSMUSG00000084009",0,0,0,0,0,0.19,0,0,0,0,0,1,757,757,757,757,757,757,"no"
"ENSMUSG00000084010",0,0,0.08,0,0,0,0,0,1.34,0,0,0,1800,1800,1800,1800,1800,1800,"no"
"ENSMUSG00000084011",0.25,0.71,0,0,0,1.95,2.47,7.35,0,0,0,13,955,955,955,955,955,955,"no"
"ENSMUSG00000084012",0,0,0,0,0,0,0,0,0,0,0,0,463,463,463,463,463,463,"no"
"ENSMUSG00000084013",0,1.57,1.87,0.83,0.8,0,0,13.61,13.96,6.7,5.83,0,797,797,797,797,797,797,"no"
"ENSMUSG00000084014",0,0,0,0,0,0,0,0,0,0,0,0,284,284,284,284,284,284,"no"
"ENSMUSG00000084015",0,0,0,0,0,0,0,0,0,0,0,0,192,192,192,192,192,192,"no"
"ENSMUSG00000084016",0,0,0,0,0,0,0,0,0,0,0,0,899,899,899,899,899,899,"no"
"ENSMUSG00000084017",0,0,0,0,0,0,0,0,0,0,0,0,433,433,433,433,433,433,"no"
"ENSMUSG00000084018",0,0,0,0,0.26,0,0,0,0,0,1,0,418,418,418,418,418,418,"no"
"ENSMUSG00000084019",0,0,0,0,0,0,0,0,0,0,0,0,471,471,471,471,471,471,"no"
"ENSMUSG00000084020",0,0,0,0,0,0,0,0,0,0,0,0,1168,1168,1168,1168,1168,1168,"no"
"ENSMUSG00000084021",0,0,0,0,0,0,0,0,0,0,0,0,1533,1533,1533,1533,1533,1533,"no"
"ENSMUSG00000084022",0,0,0,0,0,0,0,0,0,0,0,0,637,637,637,637,637,637,"no"
"ENSMUSG00000084024",0,0,0,0,0,0,0.05,0,0,0,0,0,1186,1186,1186,1186,1186,1186,"no"
"ENSMUSG00000084025",0,0,0,0,0,0,0,0,0,0,0,0,530,530,530,530,530,530,"no"
"ENSMUSG00000084026",0,0,0,0,0,0,0,0,0,0,0,0,666,666,666,666,666,666,"no"
"ENSMUSG00000084027",0,0,0,0,0,0,0,0,0,0,0,0,558,558,558,558,558,558,"no"
"ENSMUSG00000084028",0,0,0,0,0,0,0,0,0,0,0,0,816,816,816,816,816,816,"no"
"ENSMUSG00000084029",0,0,0,0,0,0,0,0,0,0,0,0,829,829,829,829,829,829,"no"
"ENSMUSG00000084030",0,0,0,0,0,0,0,0,0,0,0,0,898,898,898,898,898,898,"no"
"ENSMUSG00000084031",0,0,0,0,0,0,0,0,0,0,0,0,1438,1438,1438,1438,1438,1438,"no"
"ENSMUSG00000084032",0,0,0,0,0,0,0,0,0,0,0,0,29,29,29,29,29,29,"no"
"ENSMUSG00000084033",0.56,0,0,0.68,1.18,0,4.31,0,0,5.06,8,0,739,611,611,739,739,611,"no"
"ENSMUSG00000084034",0,0,0,0,0,0,0,0,0,0,0,0,332,332,332,332,332,332,"no"
"ENSMUSG00000084038",0.23,0.22,0,0.65,1.02,0.71,1.78,1.78,0,4.97,7.03,3.75,755,755,755,755,755,755,"no"
"ENSMUSG00000084039",0,0,0,0,0,0,0,0,0,0,0,0,207,207,207,207,207,207,"no"
"ENSMUSG00000084040",0,0,0,0,0,0,0,0,0,0,0,0,278,278,278,278,278,278,"no"
"ENSMUSG00000084041",0,0,0,0,0,0,0,0,0,0,0,0,222,222,222,222,222,222,"no"
"ENSMUSG00000084043",0,0,0,0,0,0,0,0,0,0,0,0,486,486,486,486,486,486,"no"
"ENSMUSG00000084044",0,0,0,0,0,0,0,0,0,0,0,0,631,631,631,631,631,631,"no"
"ENSMUSG00000084045",0,0,0,0,0,0,0,0,0,0,0,0,264,264,264,264,264,264,"no"
"ENSMUSG00000084046",0,0,0,0,0,0,0,0,0,0,0,0,804,804,804,804,804,804,"no"
"ENSMUSG00000084047",0,0,0,0,0,0,0,0,0,0,0,0,1214,1214,1214,1214,1214,1214,"no"
"ENSMUSG00000084048",0,0,0,0,0,0,0,0,0,0,0,0,252,252,252,252,252,252,"no"
"ENSMUSG00000084050",0,0,0,0.37,0.3,0,0,0.01,0,1.45,1.08,0,395,392,395,392,392,395,"no"
"ENSMUSG00000084051",1.9,1.16,0.54,2.49,2.46,0.72,7.87,5,2,10,9,2,398,398,398,398,398,398,"no"
"ENSMUSG00000084052",0,0,0,0,0,0,0,0,0,0,0,0,399,399,399,399,399,399,"no"
"ENSMUSG00000084053",0,0,0,0,0,0,0,0,0,0,0,0,286,286,286,286,286,286,"no"
"ENSMUSG00000084054",0,0,0,0,0,0,0,0,0,0,0,0,1069,1069,1069,1069,1069,1069,"no"
"ENSMUSG00000084055",0,0,0,0,0,0,0,0,0,0,0,0,669,669,669,669,669,669,"no"
"ENSMUSG00000084056",0,0,0,0,0,0,0,0,0,0,0,0,819,819,819,819,819,819,"no"
"ENSMUSG00000084057",0,0,0,0,0,0,0,0,0,0,0,0,900,900,900,900,900,900,"no"
"ENSMUSG00000084058",0.16,0,0,0,0,0,1,0,0,0,0,0,593,593,593,593,593,593,"no"
"ENSMUSG00000084059",0,0,0,0,0,0,0,0,0,0,0,0,452,452,452,452,452,452,"no"
"ENSMUSG00000084060",0.6,0,0,0,0,0,1.41,0,0,0,0,0,224,224,224,224,224,224,"no"
"ENSMUSG00000084061",0,0,0,0,0,0,0,0,0,0,0,0,735,735,735,735,735,735,"no"
"ENSMUSG00000084062",0,0,0,0,0,0,0,0,0,0,0,0,663,663,663,663,663,663,"no"
"ENSMUSG00000084063",0,0,0,0,0,0,0,0,0,0,0,0,2539,2539,2539,2539,2539,2539,"no"
"ENSMUSG00000084064",0,0,0,0.35,0,3.36,0,0,0,0.7,0,4.56,195,195,195,195,195,195,"no"
"ENSMUSG00000084065",0,0,0,0,0,0,0,0,0,0,0,0,715,715,715,715,715,715,"no"
"ENSMUSG00000084066",0,0,0,0,0,0,0,0,0,0,0,0,597,597,597,597,597,597,"no"
"ENSMUSG00000084067",0,0,3.63,1.74,1.97,0,0,0,8.73,4.52,4.63,0,257,257,257,257,257,257,"no"
"ENSMUSG00000084068",0,0,0,0,0,0,0,0,0,0,0,0,345,345,345,345,345,345,"no"
"ENSMUSG00000084069",0,0,0,0,0,0,0,0,0,0,0,0,122,122,122,122,122,122,"no"
"ENSMUSG00000084070",0,0,0,0,0,0,0,0,0,0,0,0,385,385,385,385,385,385,"no"
"ENSMUSG00000084071",4.8,2.76,7.09,2.04,3.4,4.79,14.36,8.61,19.06,5.91,8.95,9.57,287,287,287,287,287,287,"no"
"ENSMUSG00000084072",0,0,0,0,0,0,0,0,0,0,0,0,273,273,273,273,273,273,"no"
"ENSMUSG00000084073",0,0,0,0,0,0,0,0,0,0,0,0,383,383,383,383,383,383,"no"
"ENSMUSG00000084074",0,0,0,0,0,0,0,0,0,0,0,0,1144,1144,1144,1144,1144,1144,"no"
